company,date,payment_type,study,PI,payment
"Penumbra, Inc.",2017-07-27,Cash or cash equivalent,SMART A prospective multicenter registry assessing the embolization of neurovascular lesions using the Penumbra SMART COIL System,329114,47612.5
"Regeneron Pharmaceuticals, Inc.",2017-07-28,Cash or cash equivalent,Alirocumab and Plaque Regression in Peripheral Arterial Disease,1061444,80087.53
Corindus Inc.,2017-07-31,Cash or cash equivalent,Precision GRX Registry,601536,1500
"Janssen Research & Development, LLC",2017-07-31,Cash or cash equivalent,"A Phase 3b, Multicenter, Open-label, PCI-32765 (Ibrutinib) Long-term Extension Study",129137,7504.87
SANOFI-AVENTIS U.S. LLC,2017-07-31,Cash or cash equivalent,NA,1043167,300
Sunovion Pharmaceuticals Inc.,2017-07-31,In-kind items and services,PEDIATRIC OPEN-LABEL EXTENSION STUDY,81927,85
"Siemens Medical Solutions USA, Inc.",2017-08-01,Cash or cash equivalent,Blood collection from emergency department cardiac patient volunteers: Protocol no. MCSA-Multiplatform-201303.PRO,931365,1500
"TESARO, Inc.",2017-08-01,Cash or cash equivalent,"A PHASE 1 DOSE ESCALATION AND COHORT EXPANSION STUDY OF TSR-042, AN ANTI-PD-1 MONOCLONAL ANTIBODY, IN PATIENTS WITH ADVANCED SOLID TUMORS",945020,20230.2
Pfizer Inc.,2017-08-03,Cash or cash equivalent,A PHASE 2B RANDOMIZED DOUBLEBLIND PLACEBOCONTROLLED STUDY TO EVALUATE THE SAFETY AND EFFICACY OF STAPHYLOCOCCUS AUREUS 4 ANTIGEN VACCINE SA4AG IN ADULTS UNDERGOING ELECTIVE OPEN POSTERIOR SPINAL FUSION PROCEDURES WITH MULTILEVEL INSTRUMENTATION,31776,104828
"Genentech, Inc.",2017-08-04,Cash or cash equivalent,A PHASE III MULTICENTER RANDOMIZED DOUBLE MASKED,19168,7045
"Johnson & Johnson Vision Care, Inc.",2017-08-04,Cash or cash equivalent,1330-GOCR-2845982,NA,52481
Boston Scientific Corporation,2017-08-07,Cash or cash equivalent,CAP2,217198,1687.5
Pacira Pharmaceuticals Incorporated,2017-08-07,Cash or cash equivalent,"A MULTICENTER, RANDOMIZED, DOUBLE-BLIND, CONTROLLED STUDY OF EXPAREL FOR POSTSURGICAL PAIN MANAGEMENT IN SUBJECTS UNDERGOING OPEN LUMBAR SPINAL FUSION SURGERY",838313,8059.48
"AbbVie, Inc.",2017-08-08,Cash or cash equivalent,M16-296,808737,20426.25
"LivaNova USA, Inc.",2017-08-08,Cash or cash equivalent,Mitroflow DL PAS TMT001,188640,5150
"Siemens Medical Solutions USA, Inc.",2017-08-08,Cash or cash equivalent,Blood collection from emergency department cardiac patient volunteers: Protocol no. MCSA-Multiplatform-201303.PRO,931365,630
"Zimmer Biomet Holdings, Inc.",2017-08-08,Cash or cash equivalent,Comprehensive Shoulder System with Nano Humeral Component IDE Study,112215,812.5
"Genentech, Inc.",2017-08-10,Cash or cash equivalent,A MULTICENTER OPEN LABEL EXTENSION STUDY TO EVALUATE THE LONG TERM SAFETY OF LAMPALIZUMAB,19168,3726
"Penumbra, Inc.",2017-08-10,Cash or cash equivalent,SMART A prospective multicenter registry assessing the embolization of neurovascular lesions using the Penumbra SMART COIL System,329114,14062.5
"TESARO, Inc.",2017-08-10,In-kind items and services,PHASE 12 CLINICAL STUDY OF NIRAPARIB IN COMBINATION WITH PEMBROLIZUMAB IN PATIENTS WITH ADVANCED OR METASTATIC TRIPLE-NEGATIVE BREAST CANCER AND IN PATIENTS WITH RECURRENT OVARIAN CANCER,760719,16640
"TESARO, Inc.",2017-08-10,In-kind items and services,PHASE 12 CLINICAL STUDY OF NIRAPARIB IN COMBINATION WITH PEMBROLIZUMAB IN PATIENTS WITH ADVANCED OR METASTATIC TRIPLE-NEGATIVE BREAST CANCER AND IN PATIENTS WITH RECURRENT OVARIAN CANCER,760719,23600
"TESARO, Inc.",2017-08-10,In-kind items and services,PHASE 12 CLINICAL STUDY OF NIRAPARIB IN COMBINATION WITH PEMBROLIZUMAB IN PATIENTS WITH ADVANCED OR METASTATIC TRIPLE-NEGATIVE BREAST CANCER AND IN PATIENTS WITH RECURRENT OVARIAN CANCER,760719,16640
"TESARO, Inc.",2017-08-10,In-kind items and services,PHASE 12 CLINICAL STUDY OF NIRAPARIB IN COMBINATION WITH PEMBROLIZUMAB IN PATIENTS WITH ADVANCED OR METASTATIC TRIPLE-NEGATIVE BREAST CANCER AND IN PATIENTS WITH RECURRENT OVARIAN CANCER,760719,23600
"TESARO, Inc.",2017-08-10,In-kind items and services,PHASE 12 CLINICAL STUDY OF NIRAPARIB IN COMBINATION WITH PEMBROLIZUMAB IN PATIENTS WITH ADVANCED OR METASTATIC TRIPLE-NEGATIVE BREAST CANCER AND IN PATIENTS WITH RECURRENT OVARIAN CANCER,760719,16640
"TESARO, Inc.",2017-08-10,In-kind items and services,PHASE 12 CLINICAL STUDY OF NIRAPARIB IN COMBINATION WITH PEMBROLIZUMAB IN PATIENTS WITH ADVANCED OR METASTATIC TRIPLE-NEGATIVE BREAST CANCER AND IN PATIENTS WITH RECURRENT OVARIAN CANCER,760719,23600
Cook Research Incorporated,2017-08-11,Cash or cash equivalent,Evol Esophageal FC (Benign),648051,75
Merck Sharp & Dohme Corporation,2017-08-15,In-kind items and services,A phase II trial of concurrent chemoradiation with consolidation MK-3475 for the treatment of inoperable or unresectable stage III non-small cell lung cancer NSCLC LUN14-179,1112054,14664.96
"AbbVie, Inc.",2017-08-17,Cash or cash equivalent,M16-296,808737,1e3
Boston Scientific Corporation,2017-08-21,Cash or cash equivalent,S ICD PAS,187930,365
Boston Scientific Corporation,2017-08-21,Cash or cash equivalent,ASAP TOO,217198,4255.32
Edwards Lifesciences Corporation,2017-08-21,Cash or cash equivalent,PARTNERII 2010-12,123007,7600
SANOFI-AVENTIS U.S. LLC,2017-08-21,Cash or cash equivalent,NA,1043167,600
Abbott Laboratories,2017-08-22,Cash or cash equivalent,Cardiovascular Outcomes Assessment of the MitraClip Percutaneous Therapy for Heart Failure Patients With Functional Mitral Regurgitation (The COAPT Trial),217198,1500
Astellas US Technologies,2017-08-22,In-kind items and services,Assessment of Myocardial Flow Reserve (and Effects of Exercise Traiing in Patients with Angina and Negative Coronary Angiograms,203646,28206.57
"Smith & Nephew, Inc.",2017-08-22,In-kind items and services,NA,4225543,19356
"Smith & Nephew, Inc.",2017-08-22,In-kind items and services,NA,4225543,6078
Pfizer Inc.,2017-08-28,Cash or cash equivalent,SPRITES  SERTRALINE PEDIATRIC REGISTRY FOR THE EVALUATION OF SAFETY A NONINTERVENTIONAL LONGITUDINAL COHORT STUDY TO EVALUATE THE EFFECTS OF LONGTERM SERTRALINE TREATMENT IN CHILDREN AND ADOLESCENTS,81927,510
SANOFI US SERVICES INC.,2017-08-28,In-kind items and services,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the Effect of Alirocumab (SAR236553/REGN727) on the Occurrence of Cardiovascular Events in Patients Who Have Recently E",1043167,32.42
"AbbVie, Inc.",2017-08-29,In-kind items and services,A14-464,631489,275.2
"AbbVie, Inc.",2017-08-29,In-kind items and services,A14-464,631489,688.32
GENZYME CORPORATION,2017-08-29,Cash or cash equivalent,Q2 2017 Fabry LSD Registry,NA,75
GENZYME CORPORATION,2017-08-29,Cash or cash equivalent,Q2 2017 MPSI LSD Registry,NA,125
GENZYME CORPORATION,2017-08-29,Cash or cash equivalent,Q2 2017 Pompe LSD Registry,NA,175
GENZYME CORPORATION,2017-08-29,Cash or cash equivalent,Q2 2017 Gaucher LSD Registry,NA,300
"TESARO, Inc.",2017-08-29,Cash or cash equivalent,"A PHASE 1 DOSE ESCALATION AND COHORT EXPANSION STUDY OF TSR-042, AN ANTI-PD-1 MONOCLONAL ANTIBODY, IN PATIENTS WITH ADVANCED SOLID TUMORS",945020,22750
Sunovion Pharmaceuticals Inc.,2017-08-31,In-kind items and services,PEDIATRIC OPEN-LABEL EXTENSION STUDY,81927,85
"Genentech, Inc.",2017-09-01,Cash or cash equivalent,A PHASE III TRIAL IN ADJUVANT HER2 BC PTS,760719,1900
Novo Nordisk Inc,2017-09-04,Cash or cash equivalent,Efficacy of inControl Advice: A Decision Support System (DSS) for Diabetes,NA,5326.2
"AbbVie, Inc.",2017-09-05,Cash or cash equivalent,M16-296,808737,3700
"Medical Device Business Services, Inc.",2017-09-07,Cash or cash equivalent,A Pivotal Study Comparing Two Injections of MONOVISC to Two Injections of Saline in Patients with Osteoarthritis of the Hip,250357,577.5
"TESARO, Inc.",2017-09-08,Cash or cash equivalent,PHASE 12 CLINICAL STUDY OF NIRAPARIB IN COMBINATION WITH PEMBROLIZUMAB IN PATIENTS WITH ADVANCED OR METASTATIC TRIPLE-NEGATIVE BREAST CANCER AND IN PATIENTS WITH RECURRENT OVARIAN CANCER,760719,6679.8
Incyte Corporation,2017-09-13,Cash or cash equivalent,"A Randomized, Double-Blind, Placebo-Controlled Phase 3 Study of Itacitinib or Placebo in Combination With Corticosteroids for the Treatment of First-Line Acute Graft-Versus-Host Disease",369474,15.64
Incyte Corporation,2017-09-14,Cash or cash equivalent,"A Randomized, Double-Blind, Placebo-Controlled Phase 3 Study of Itacitinib or Placebo in Combination With Corticosteroids for the Treatment of First-Line Acute Graft-Versus-Host Disease",369474,120
Incyte Corporation,2017-09-14,Cash or cash equivalent,"A Randomized, Double-Blind, Placebo-Controlled Phase 3 Study of Itacitinib or Placebo in Combination With Corticosteroids for the Treatment of First-Line Acute Graft-Versus-Host Disease",369474,54.99
Novo Nordisk Inc,2017-09-14,Cash or cash equivalent,Efficacy of inControl Advice: A Decision Support System (DSS) for Diabetes,NA,2663.1
Cook Research Incorporated,2017-09-15,Cash or cash equivalent,Zenith Branch Endovascular Graft-Iliac Bifurcation,300280,100
Cook Research Incorporated,2017-09-15,Cash or cash equivalent,Zenith Branch Endovascular Graft-Iliac Bifurcation,300280,1200
Incyte Corporation,2017-09-15,Cash or cash equivalent,"A Randomized, Double-Blind, Placebo-Controlled Phase 3 Study of Itacitinib or Placebo in Combination With Corticosteroids for the Treatment of First-Line Acute Graft-Versus-Host Disease",369474,100.66
Incyte Corporation,2017-09-15,Cash or cash equivalent,"A Randomized, Double-Blind, Placebo-Controlled Phase 3 Study of Itacitinib or Placebo in Combination With Corticosteroids for the Treatment of First-Line Acute Graft-Versus-Host Disease",369474,39
Incyte Corporation,2017-09-15,Cash or cash equivalent,"A Randomized, Double-Blind, Placebo-Controlled Phase 3 Study of Itacitinib or Placebo in Combination With Corticosteroids for the Treatment of First-Line Acute Graft-Versus-Host Disease",369474,50
Incyte Corporation,2017-09-15,Cash or cash equivalent,"A Randomized, Double-Blind, Placebo-Controlled Phase 3 Study of Itacitinib or Placebo in Combination With Corticosteroids for the Treatment of First-Line Acute Graft-Versus-Host Disease",369474,9.41
Incyte Corporation,2017-09-15,Cash or cash equivalent,"A Randomized, Double-Blind, Placebo-Controlled Phase 3 Study of Itacitinib or Placebo in Combination With Corticosteroids for the Treatment of First-Line Acute Graft-Versus-Host Disease",369474,59.53
Incyte Corporation,2017-09-15,Cash or cash equivalent,"A Randomized, Double-Blind, Placebo-Controlled Phase 3 Study of Itacitinib or Placebo in Combination With Corticosteroids for the Treatment of First-Line Acute Graft-Versus-Host Disease",369474,494.94
Incyte Corporation,2017-09-15,Cash or cash equivalent,"A Randomized, Double-Blind, Placebo-Controlled Phase 3 Study of Itacitinib or Placebo in Combination With Corticosteroids for the Treatment of First-Line Acute Graft-Versus-Host Disease",369474,16.5
Incyte Corporation,2017-09-15,Cash or cash equivalent,"A Randomized, Double-Blind, Placebo-Controlled Phase 3 Study of Itacitinib or Placebo in Combination With Corticosteroids for the Treatment of First-Line Acute Graft-Versus-Host Disease",369474,54.99
Incyte Corporation,2017-09-15,Cash or cash equivalent,"A Randomized, Double-Blind, Placebo-Controlled Phase 3 Study of Itacitinib or Placebo in Combination With Corticosteroids for the Treatment of First-Line Acute Graft-Versus-Host Disease",369474,400.6
Sunovion Pharmaceuticals Inc.,2017-09-15,In-kind items and services,PEDIATRIC OPEN-LABEL EXTENSION STUDY,81927,5.75
"W. L. Gore & Associates, Inc.",2017-09-15,Cash or cash equivalent,GORE HELEX  Septal Occluder / GORE  Septal Occluder and Antiplatelet Medical Management for Reduction of Recurrent Stroke or Imaging-Confirmed TIA in Patients with Patent Foramen Ovale (PFO),220413,1687.5
Boston Scientific Corporation,2017-09-18,Cash or cash equivalent,ASAP TOO,217198,4640.95
"E.R. Squibb & Sons, L.L.C.",2017-09-19,Cash or cash equivalent,A Multicenter Randomized Double Blind Parallel Group Placebo Controlled Dose Ranging Phase 2b Study of the Safety and Efficacy of Continuous 48 Hour Intravenous Infusions of BMS 986231 in Hospitalized Patients with Heart Failure and Impaired Systoli,1248026,39426.13
"AbbVie, Inc.",2017-09-20,Cash or cash equivalent,M14-327,594186,7803.75
"AbbVie, Inc.",2017-09-20,Cash or cash equivalent,M14-011,760719,1769.08
"Genentech, Inc.",2017-09-20,Cash or cash equivalent,POC FOR RO6867461 IN DME,250079,5268
Insulet Corporation,2017-09-20,Cash or cash equivalent,IN SILICO ASSESSMENT OF INACCURATE INSULIN DELIVERY,NA,18156.5
SANOFI-AVENTIS U.S. LLC,2017-09-20,Cash or cash equivalent,NA,1043167,1130
"AbbVie, Inc.",2017-09-21,Cash or cash equivalent,M14-327,594186,5245
"Genentech, Inc.",2017-09-25,Cash or cash equivalent,ATEZOLIZUMAB IN MUSCLE INVASIVE BLADDER CANCER MIBC,266016,8830.8
"Medical Device Business Services, Inc.",2017-09-25,Cash or cash equivalent,A Pivotal Study Comparing Two Injections of MONOVISC to Two Injections of Saline in Patients with Osteoarthritis of the Hip,250357,8750
Pfizer Inc.,2017-09-25,Cash or cash equivalent,SPRITES  SERTRALINE PEDIATRIC REGISTRY FOR THE EVALUATION OF SAFETY A NONINTERVENTIONAL LONGITUDINAL COHORT STUDY TO EVALUATE THE EFFECTS OF LONGTERM SERTRALINE TREATMENT IN CHILDREN AND ADOLESCENTS,81927,1250
"TESARO, Inc.",2017-09-25,In-kind items and services,PHASE 12 CLINICAL STUDY OF NIRAPARIB IN COMBINATION WITH PEMBROLIZUMAB IN PATIENTS WITH ADVANCED OR METASTATIC TRIPLE-NEGATIVE BREAST CANCER AND IN PATIENTS WITH RECURRENT OVARIAN CANCER,760719,23600
"TESARO, Inc.",2017-09-25,In-kind items and services,PHASE 12 CLINICAL STUDY OF NIRAPARIB IN COMBINATION WITH PEMBROLIZUMAB IN PATIENTS WITH ADVANCED OR METASTATIC TRIPLE-NEGATIVE BREAST CANCER AND IN PATIENTS WITH RECURRENT OVARIAN CANCER,760719,23600
"Varian Medical Systems, Inc.",2017-09-25,Cash or cash equivalent,Real-time delivery with EPID -U.V.,NA,7e4
Allergan Inc.,2017-09-26,Cash or cash equivalent,"A PHASE 3, RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED, PARALLEL-GROUP, MULTICENTER, FIXED-DOSE CLINICAL TRIAL EVALUATING THE EFFICACY, SAFETY AND TOLERABILITY OF CARIPRAZINE IN PATIENTS WITH BIPOLAR I DEPRESSION",81927,313
Novo Nordisk Inc,2017-09-26,Cash or cash equivalent,Efficacy of inControl Advice: A Decision Support System (DSS) for Diabetes,NA,2361.5
SANOFI US SERVICES INC.,2017-09-26,In-kind items and services,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the Effect of Alirocumab (SAR236553/REGN727) on the Occurrence of Cardiovascular Events in Patients Who Have Recently E",1043167,369.6
"TESARO, Inc.",2017-09-26,In-kind items and services,PHASE 12 CLINICAL STUDY OF NIRAPARIB IN COMBINATION WITH PEMBROLIZUMAB IN PATIENTS WITH ADVANCED OR METASTATIC TRIPLE-NEGATIVE BREAST CANCER AND IN PATIENTS WITH RECURRENT OVARIAN CANCER,760719,4160
"TESARO, Inc.",2017-09-26,In-kind items and services,PHASE 12 CLINICAL STUDY OF NIRAPARIB IN COMBINATION WITH PEMBROLIZUMAB IN PATIENTS WITH ADVANCED OR METASTATIC TRIPLE-NEGATIVE BREAST CANCER AND IN PATIENTS WITH RECURRENT OVARIAN CANCER,760719,4160
Cook Research Incorporated,2017-09-27,Cash or cash equivalent,Cook IVC Filter Post-Market Study,300280,6724
Cook Research Incorporated,2017-09-27,Cash or cash equivalent,Cook IVC Filter Post-Market Study,300280,4225.51
Edwards Lifesciences Corporation,2017-09-27,Cash or cash equivalent,PARTNERII 2010-12,123007,1e4
Prometheus Laboratories Inc.,2017-09-28,In-kind items and services,Low-dose Interleukin-2 and Pembrolizumab Among Patients with Metastatic Melanoma and Renal CEll Carcinoma,698625,203682
"Ceterix Orthopaedics, Inc.",2017-09-29,Cash or cash equivalent,Study Name:  Comparative Study of the Ceterix Suture Pattern vs. the FastFix 360 for Meniscus Tears,955960,1848.75
Incyte Corporation,2017-09-29,Cash or cash equivalent,A phase 3 randomized open label multi center study of ruxolitinib vs. best available therapy in patients with corticosteroid refractory chronic graft vs. host disease after allogenic stem cell transplantation,206269,39.7
Incyte Corporation,2017-09-29,Cash or cash equivalent,A phase 3 randomized open label multi center study of ruxolitinib vs. best available therapy in patients with corticosteroid refractory chronic graft vs. host disease after allogenic stem cell transplantation,206269,134.16
Incyte Corporation,2017-09-29,Cash or cash equivalent,A phase 3 randomized open label multi center study of ruxolitinib vs. best available therapy in patients with corticosteroid refractory chronic graft vs. host disease after allogenic stem cell transplantation,206269,161.16
Incyte Corporation,2017-09-29,Cash or cash equivalent,A phase 3 randomized open label multi center study of ruxolitinib vs. best available therapy in patients with corticosteroid refractory chronic graft vs. host disease after allogenic stem cell transplantation,206269,41.24
Incyte Corporation,2017-09-29,Cash or cash equivalent,A phase 3 randomized open label multi center study of ruxolitinib vs. best available therapy in patients with corticosteroid refractory chronic graft vs. host disease after allogenic stem cell transplantation,206269,46.8
Incyte Corporation,2017-09-29,Cash or cash equivalent,A phase 3 randomized open label multi center study of ruxolitinib vs. best available therapy in patients with corticosteroid refractory chronic graft vs. host disease after allogenic stem cell transplantation,206269,38.2
Incyte Corporation,2017-09-29,Cash or cash equivalent,A phase 3 randomized open label multi center study of ruxolitinib vs. best available therapy in patients with corticosteroid refractory chronic graft vs. host disease after allogenic stem cell transplantation,206269,71.58
Incyte Corporation,2017-09-29,Cash or cash equivalent,A phase 3 randomized open label multi center study of ruxolitinib vs. best available therapy in patients with corticosteroid refractory chronic graft vs. host disease after allogenic stem cell transplantation,206269,80.2
Incyte Corporation,2017-09-29,Cash or cash equivalent,A phase 3 randomized open label multi center study of ruxolitinib vs. best available therapy in patients with corticosteroid refractory chronic graft vs. host disease after allogenic stem cell transplantation,206269,6.8
Incyte Corporation,2017-09-29,Cash or cash equivalent,A phase 3 randomized open label multi center study of ruxolitinib vs. best available therapy in patients with corticosteroid refractory chronic graft vs. host disease after allogenic stem cell transplantation,206269,3.8
Incyte Corporation,2017-09-29,Cash or cash equivalent,A phase 3 randomized open label multi center study of ruxolitinib vs. best available therapy in patients with corticosteroid refractory chronic graft vs. host disease after allogenic stem cell transplantation,206269,38.2
"Aziyo Biologics, Inc.",2017-09-30,Cash or cash equivalent,Perform,312047,685.8
"AbbVie, Inc.",2017-10-02,In-kind items and services,A14-464,631489,137.6
"AbbVie, Inc.",2017-10-02,In-kind items and services,A14-464,631489,688.32
Boston Scientific Corporation,2017-10-02,Cash or cash equivalent,ASAP TOO,217198,1674.69
"Intercept Pharmaceuticals, Inc.",2017-10-02,Cash or cash equivalent,303,62826,2644.2
"Intercept Pharmaceuticals, Inc.",2017-10-02,Cash or cash equivalent,303,62826,842.4
"TESARO, Inc.",2017-10-03,Cash or cash equivalent,PHASE 12 CLINICAL STUDY OF NIRAPARIB IN COMBINATION WITH PEMBROLIZUMAB IN PATIENTS WITH ADVANCED OR METASTATIC TRIPLE-NEGATIVE BREAST CANCER AND IN PATIENTS WITH RECURRENT OVARIAN CANCER,760719,6639.3
"TESARO, Inc.",2017-10-03,Cash or cash equivalent,"A PHASE 1 DOSE ESCALATION AND COHORT EXPANSION STUDY OF TSR-042, AN ANTI-PD-1 MONOCLONAL ANTIBODY, IN PATIENTS WITH ADVANCED SOLID TUMORS",945020,5116.5
"CardioFocus, Inc.",2017-10-04,Cash or cash equivalent,Pivotal Clinical Study of the CardioFocus Endoscopic Ablation System-Adaptive Contact,281489,5e3
"Arthrex, Inc.",2017-10-05,Cash or cash equivalent,RCT of inlay vs. only biceps tenodesis,112215,375
"Exactech, Inc.",2017-10-05,Cash or cash equivalent,A Prospective Multi-center Data Collection to Assess the Exactech Guided Personalized Surgery eGPS in Total Knee Arthroplasty,233499,10875
"TESARO, Inc.",2017-10-05,In-kind items and services,PHASE 12 CLINICAL STUDY OF NIRAPARIB IN COMBINATION WITH PEMBROLIZUMAB IN PATIENTS WITH ADVANCED OR METASTATIC TRIPLE-NEGATIVE BREAST CANCER AND IN PATIENTS WITH RECURRENT OVARIAN CANCER,760719,23600
"TESARO, Inc.",2017-10-05,Cash or cash equivalent,PHASE 12 CLINICAL STUDY OF NIRAPARIB IN COMBINATION WITH PEMBROLIZUMAB IN PATIENTS WITH ADVANCED OR METASTATIC TRIPLE-NEGATIVE BREAST CANCER AND IN PATIENTS WITH RECURRENT OVARIAN CANCER,760719,7160
"TESARO, Inc.",2017-10-05,In-kind items and services,PHASE 12 CLINICAL STUDY OF NIRAPARIB IN COMBINATION WITH PEMBROLIZUMAB IN PATIENTS WITH ADVANCED OR METASTATIC TRIPLE-NEGATIVE BREAST CANCER AND IN PATIENTS WITH RECURRENT OVARIAN CANCER,760719,23600
"Janssen Research & Development, LLC",2017-10-06,Cash or cash equivalent,A Phase 2 Efficacy and Safety Study of Niraparib in Men With Metastatic Castration-Resistant Prostate Cancer and DNA-Repair Anomalies,266016,13e3
"Janssen Research & Development, LLC",2017-10-06,Cash or cash equivalent,A Study of Intranasal Esketamine Plus an Oral Antidepressant for Relapse Prevention in Adult Participants With Treatment-resistant Depression,322890,20368
Gilead Sciences Inc,2017-10-09,Cash or cash equivalent,"RESCUE: A Phase 3b, Multicenter, Open-Label Study to Investigate the Efficacy and Safety of Ledipasvir/Sofosbuvir, With or Without Ribavirin, in HCV Infected Subjects Who Have Failed Prior Treatment With Sofosbuvir-based Therapies",212626,1300
"Roche Diagnostics Operations, Inc.",2017-10-10,Cash or cash equivalent,RD003141,408254,4862.5
"Takeda Development Center Americas, Inc.",2017-10-10,Cash or cash equivalent,"A Randomized, Double-Blind, Parallel Group, Placebo- and Active-Controlled, Phase 4 Study Evaluating the Effect of Vortioxetine 10 and 20 mg-Day vs Paroxetine 20 mg-Day on Sexual Functioning in Healthy Subjects",322890,3444
"Takeda Development Center Americas, Inc.",2017-10-10,Cash or cash equivalent,"A Randomized, Double-Blind, Parallel Group, Placebo- and Active-Controlled, Phase 4 Study Evaluating the Effect of Vortioxetine 10 and 20 mg-Day vs Paroxetine 20 mg-Day on Sexual Functioning in Healthy Subjects",322890,1500
Ascensia Diabetes Care US Inc.,2017-10-12,In-kind items and services,Clinical Acceptance of the Artificial Pancreas- the International Diabetes Closed Loop -iDCL- Trial,1115890,14601.62
"TESARO, Inc.",2017-10-12,In-kind items and services,PHASE 12 CLINICAL STUDY OF NIRAPARIB IN COMBINATION WITH PEMBROLIZUMAB IN PATIENTS WITH ADVANCED OR METASTATIC TRIPLE-NEGATIVE BREAST CANCER AND IN PATIENTS WITH RECURRENT OVARIAN CANCER,760719,8320
"TESARO, Inc.",2017-10-12,In-kind items and services,PHASE 12 CLINICAL STUDY OF NIRAPARIB IN COMBINATION WITH PEMBROLIZUMAB IN PATIENTS WITH ADVANCED OR METASTATIC TRIPLE-NEGATIVE BREAST CANCER AND IN PATIENTS WITH RECURRENT OVARIAN CANCER,760719,11800
"TESARO, Inc.",2017-10-12,In-kind items and services,PHASE 12 CLINICAL STUDY OF NIRAPARIB IN COMBINATION WITH PEMBROLIZUMAB IN PATIENTS WITH ADVANCED OR METASTATIC TRIPLE-NEGATIVE BREAST CANCER AND IN PATIENTS WITH RECURRENT OVARIAN CANCER,760719,11800
"TESARO, Inc.",2017-10-12,In-kind items and services,PHASE 12 CLINICAL STUDY OF NIRAPARIB IN COMBINATION WITH PEMBROLIZUMAB IN PATIENTS WITH ADVANCED OR METASTATIC TRIPLE-NEGATIVE BREAST CANCER AND IN PATIENTS WITH RECURRENT OVARIAN CANCER,760719,8320
"Zimmer Biomet Holdings, Inc.",2017-10-12,Cash or cash equivalent,MarrowStim PAD Kit Study,570554,325
"Aesculap Biologics, LLC",2017-10-13,Cash or cash equivalent,NOVOCART 3D for the Treatment of Articular Cartiage of the Knee N3D,243965,6208
"Regeneron Pharmaceuticals, Inc.",2017-10-13,Cash or cash equivalent,Alirocumab and Plaque Regression in Peripheral Arterial Disease,1061444,28e3
Boston Scientific Corporation,2017-10-16,Cash or cash equivalent,S ICD PAS,187930,190
Pfizer Inc.,2017-10-18,Cash or cash equivalent,A PHASE 2B RANDOMIZED DOUBLEBLIND PLACEBOCONTROLLED STUDY TO EVALUATE THE SAFETY AND EFFICACY OF STAPHYLOCOCCUS AUREUS 4 ANTIGEN VACCINE SA4AG IN ADULTS UNDERGOING ELECTIVE OPEN POSTERIOR SPINAL FUSION PROCEDURES WITH MULTILEVEL INSTRUMENTATION,31776,97956.88
Pfizer Inc.,2017-10-18,Cash or cash equivalent,A RANDOMIZED OPENLABEL MULTICENTER PHASE 3 STUDY TO EVALUATE THE EFFICACY AND SAFETY OF AVELUMAB MSB0010718C IN COMBINATION WITH ANDOR FOLLOWING CHEMOTHERAPY IN PATIENTS WITH PREVIOUSLY UNTREATED EPITHELIAL OVARIAN CANCER  JAVELIN OVARIAN 100,945020,12740
Allergan Inc.,2017-10-19,Cash or cash equivalent,"A PHASE 3, RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED, PARALLEL-GROUP, MULTICENTER, FIXED-DOSE CLINICAL TRIAL EVALUATING THE EFFICACY, SAFETY AND TOLERABILITY OF CARIPRAZINE IN PATIENTS WITH BIPOLAR I DEPRESSION",81927,6e3
Allergan Inc.,2017-10-19,Cash or cash equivalent,"A PHASE 3, RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED, PARALLEL-GROUP, MULTICENTER, FIXED-DOSE CLINICAL TRIAL EVALUATING THE EFFICACY, SAFETY AND TOLERABILITY OF CARIPRAZINE IN PATIENTS WITH BIPOLAR I DEPRESSION",81927,2500
Novocure Inc.,2017-10-19,Cash or cash equivalent,"EF-25 Pivotal, open-label, randomized study of radiosurgery with or without Tumor Treating Fields (TTFields) for 1-10 brain metastases from non-small cell lung cancer (NSCLC)",92911,6688
"Pharmacyclics LLC, An AbbVie Company",2017-10-19,Cash or cash equivalent,PCYC-1112-CA,129137,2942.31
"Pharmacyclics LLC, An AbbVie Company",2017-10-19,Cash or cash equivalent,PCYC-1112-CA,129137,14984.12
"Actelion Pharmaceuticals US, Inc.",2017-10-20,Cash or cash equivalent,OPUS - AC-055-503,199176,3125
Orthofix International N.V.,2017-10-20,Cash or cash equivalent,CP-1504TEPL,31776,2500
Abbott Laboratories,2017-10-23,Cash or cash equivalent,Evaluation of XIENCE PRIME Everolimus Eluting Stent System (EECSS) or XIENCE V EECSS or XIENCE Xpedition EECSS or XIENCE PRO EECSS Versus Coronary Artery Bypass Surgery for Effectiveness of Left Main Revascularization,601536,2186
"LivaNova USA, Inc.",2017-10-23,Cash or cash equivalent,Mitroflow DL PAS TMT001,188640,650
